player,dismissal,runs,balls,minutes,4s,6s,strike_rate,team,opponent,innings,match_id
Reeza Hendricks,b Shoriful Islam,12,19,24,1,0,63.15,South Africa,Bangladesh,1,5
Rassie van der Dussen,lbw b Mehidy Hasan Miraz,1,7,6,0,0,14.28,South Africa,Bangladesh,1,5
Aiden Markram,c Litton Das b Shakib Al Hasan,60,69,84,7,0,86.95,South Africa,Bangladesh,1,5
Heinrich Klaasen,c Mahmudullah b Hasan Mahmud,90,49,94,2,8,183.67,South Africa,Bangladesh,1,5
David Miller,not out,34,15,26,1,4,226.66,South Africa,Bangladesh,1,5
Marco Jansen,not out,1,1,3,0,0,100.0,South Africa,Bangladesh,1,5
Litton Das,c Henry b Boult,0,1,1,0,0,0.0,Bangladesh,New Zealand,1,6
Tanzid Hasan,c Conway b Ferguson,16,17,37,4,0,94.11,Bangladesh,New Zealand,1,6
Mehidy Hasan Miraz,c Henry b Ferguson,30,46,52,4,0,65.21,Bangladesh,New Zealand,1,6
Najmul Hossain Shanto,c Conway b Phillips,7,8,20,1,0,87.5,Bangladesh,New Zealand,1,6
Shakib Al Hasan,c Latham b Ferguson,40,51,75,3,2,78.43,Bangladesh,New Zealand,1,6
Mushfiqur Rahim,b Henry,66,75,93,6,2,88.0,Bangladesh,New Zealand,1,6
Towhid Hridoy,c Santner b Boult,13,25,30,0,0,52.0,Bangladesh,New Zealand,1,6
Mahmudullah,not out,41,49,58,2,2,83.67,Bangladesh,New Zealand,1,6
Taskin Ahmed,c Mitchell b Santner,17,19,25,0,2,89.47,Bangladesh,New Zealand,1,6
Mustafizur Rahman,c Latham b Henry,4,10,14,0,0,40.0,Bangladesh,New Zealand,1,6
Shoriful Islam,not out,2,3,9,0,0,66.66,Bangladesh,New Zealand,1,6
Abdullah Shafique,lbw b Mohammed Siraj,20,24,39,3,0,83.33,Pakistan,India,1,7
Imam-ul-Haq,c Rahul b Pandya,36,38,64,6,0,94.73,Pakistan,India,1,7
Babar Azam,b Mohammed Siraj,50,58,89,7,0,86.2,Pakistan,India,1,7
Mohammad Rizwan,b Bumrah,49,69,89,7,0,71.01,Pakistan,India,1,7
Saud Shakeel,lbw b Kuldeep Yadav,6,10,12,0,0,60.0,Pakistan,India,1,7
Iftikhar Ahmed,b Kuldeep Yadav,4,4,2,1,0,100.0,Pakistan,India,1,7
Shadab Khan,b Bumrah,2,5,11,0,0,40.0,Pakistan,India,1,7
Mohammad Nawaz,c Bumrah b Pandya,4,14,25,0,0,28.57,Pakistan,India,1,7
Hasan Ali,c Shubman Gill b Jadeja,12,19,21,2,0,63.15,Pakistan,India,1,7
Shaheen Shah Afridi,not out,2,10,12,0,0,20.0,Pakistan,India,1,7
Haris Rauf,lbw b Jadeja,2,6,9,0,0,33.33,Pakistan,India,1,7
Pathum Nissanka,c Latham b Southee,2,8,9,0,0,25.0,Sri Lanka,New Zealand,1,8
Kusal Perera,c Santner b Ferguson,51,28,46,9,2,182.14,Sri Lanka,New Zealand,1,8
Kusal Mendis,c Ravindra b Boult,6,7,11,1,0,85.71,Sri Lanka,New Zealand,1,8
Sadeera Samarawickrama,c Mitchell b Boult,1,2,2,0,0,50.0,Sri Lanka,New Zealand,1,8
Charith Asalanka,lbw b Boult,8,8,16,1,0,100.0,Sri Lanka,New Zealand,1,8
Angelo Mathews,c Mitchell b Santner,16,27,33,2,0,59.25,Sri Lanka,New Zealand,1,8
Dhananjaya de Silva,c Mitchell b Santner,19,24,36,2,1,79.16,Sri Lanka,New Zealand,1,8
Chamika Karunaratne,c Latham b Ferguson,6,17,28,1,0,35.29,Sri Lanka,New Zealand,1,8
Maheesh Theekshana,not out,38,91,109,3,0,41.75,Sri Lanka,New Zealand,1,8
Dushmantha Chameera,c Boult b Ravindra,1,20,32,0,0,5.0,Sri Lanka,New Zealand,1,8
Dilshan Madushanka,c Latham b Ravindra,19,48,56,2,0,39.58,Sri Lanka,New Zealand,1,8
Rohit Sharma,c Williamson b Southee,47,29,40,4,4,162.06,India,New Zealand,1,9
Shubman Gill,not out,80,66,116,8,3,121.21,India,New Zealand,1,9
Virat Kohli,c Conway b Southee,117,113,149,9,2,103.53,India,New Zealand,1,9
Shreyas Iyer,c Mitchell b Boult,105,70,114,4,8,150.0,India,New Zealand,1,9
KL Rahul,not out,39,20,29,5,2,195.0,India,New Zealand,1,9
Suryakumar Yadav,c Phillips b Southee,1,2,2,0,0,50.0,India,New Zealand,1,9
Wesley Barresi,lbw b Mujeeb Ur Rahman,1,4,3,0,0,25.0,Netherlands,Afghanistan,1,10
Max O'Dowd,run out (Azmatullah Omarzai),42,40,50,9,0,105.0,Netherlands,Afghanistan,1,10
Colin Ackermann,run out (Rashid Khan/Ikram Alikhil),29,35,71,4,0,82.85,Netherlands,Afghanistan,1,10
Sybrand Engelbrecht,run out (Mohammad Nabi/Ikram Alikhil),58,86,85,6,0,67.44,Netherlands,Afghanistan,1,10
Scott Edwards,run out (Ikram Alikhil),0,1,1,0,0,0.0,Netherlands,Afghanistan,1,10
Bas de Leede,c Ikram Alikhil b Mohammad Nabi,3,6,5,0,0,50.0,Netherlands,Afghanistan,1,10
Saqib Zulfiqar,c Ikram Alikhil b Noor Ahmad,3,15,19,0,0,20.0,Netherlands,Afghanistan,1,10
Logan van Beek,st Ikram Alikhil b Mohammad Nabi,2,13,16,0,0,15.38,Netherlands,Afghanistan,1,10
Roelof van der Merwe,c Ibrahim Zadran b Noor Ahmad,11,33,36,0,0,33.33,Netherlands,Afghanistan,1,10
Aryan Dutt,not out,10,22,42,0,0,45.45,Netherlands,Afghanistan,1,10
Paul van Meekeren,lbw b Mohammad Nabi,4,24,18,0,0,16.66,Netherlands,Afghanistan,1,10
Pathum Nissanka,b Tanzim Hasan Sakib,41,36,61,8,0,113.88,Sri Lanka,Bangladesh,1,11
Kusal Perera,c Mushfiqur Rahim b Shoriful Islam,4,5,5,1,0,80.0,Sri Lanka,Bangladesh,1,11
Kusal Mendis,c Shoriful Islam b Shakib Al Hasan,19,30,49,1,1,63.33,Sri Lanka,Bangladesh,1,11
Sadeera Samarawickrama,c Mahmudullah b Shakib Al Hasan,41,42,53,4,0,97.61,Sri Lanka,Bangladesh,1,11
Charith Asalanka,c Litton Das b Tanzim Hasan Sakib,108,105,159,6,5,102.85,Sri Lanka,Bangladesh,1,11
Angelo Mathews,timed out,0,0,4,0,0,0.0,Sri Lanka,Bangladesh,1,11
Dhananjaya de Silva,st Mushfiqur Rahim b Mehidy Hasan Miraz,34,36,58,4,1,94.44,Sri Lanka,Bangladesh,1,11
Maheesh Theekshana,c sub (Nasum Ahmed) b Shoriful Islam,21,31,35,3,0,67.74,Sri Lanka,Bangladesh,1,11
Dushmantha Chameera,run out (Mushfiqur Rahim),4,9,17,0,0,44.44,Sri Lanka,Bangladesh,1,11
Kasun Rajitha,c Litton Das b Tanzim Hasan Sakib,0,2,1,0,0,0.0,Sri Lanka,Bangladesh,1,11
Dilshan Madushanka,not out,0,1,3,0,0,0.0,Sri Lanka,Bangladesh,1,11
Devon Conway,c Iyer b Mohammed Siraj,0,9,16,0,0,0.0,New Zealand,India,1,12
Will Young,b Mohammed Shami,17,27,41,3,0,62.96,New Zealand,India,1,12
Rachin Ravindra,c Shubman Gill b Mohammed Shami,75,87,133,6,1,86.2,New Zealand,India,1,12
Daryl Mitchell,c Kohli b Mohammed Shami,130,127,192,9,5,102.36,New Zealand,India,1,12
Tom Latham,lbw b Kuldeep Yadav,5,7,16,1,0,71.42,New Zealand,India,1,12
Glenn Phillips,c Sharma b Kuldeep Yadav,23,26,36,0,1,88.46,New Zealand,India,1,12
Mark Chapman,c Kohli b Bumrah,6,8,11,0,0,75.0,New Zealand,India,1,12
Mitchell Santner,b Mohammed Shami,1,2,3,0,0,50.0,New Zealand,India,1,12
Matt Henry,b Mohammed Shami,0,1,1,0,0,0.0,New Zealand,India,1,12
Lockie Ferguson,run out (Rahul),1,5,12,0,0,20.0,New Zealand,India,1,12
Trent Boult,not out,0,1,1,0,0,0.0,New Zealand,India,1,12
David Warner,c & b Phillips,81,65,77,5,6,124.61,Australia,New Zealand,1,13
Travis Head,b Phillips,109,67,94,10,7,162.68,Australia,New Zealand,1,13
Mitchell Marsh,b Santner,36,51,65,2,0,70.58,Australia,New Zealand,1,13
Steven Smith,c Boult b Phillips,18,17,19,2,0,105.88,Australia,New Zealand,1,13
Marnus Labuschagne,c Ravindra b Santner,18,26,36,2,0,69.23,Australia,New Zealand,1,13
Glenn Maxwell,c Boult b Neesham,41,24,37,5,2,170.83,Australia,New Zealand,1,13
Josh Inglis,c Phillips b Boult,38,28,48,4,1,135.71,Australia,New Zealand,1,13
Pat Cummins,lbw b Boult,37,14,23,2,4,264.28,Australia,New Zealand,1,13
Mitchell Starc,c Neesham b Henry,1,3,7,0,0,33.33,Australia,New Zealand,1,13
Adam Zampa,b Boult,0,3,2,0,0,0.0,Australia,New Zealand,1,13
Josh Hazlewood,not out,0,0,1,0,0,0.0,Australia,New Zealand,1,13
Vikramjit Singh,c Klaasen b Rabada,2,16,28,0,0,12.5,Netherlands,South Africa,1,14
Max O'Dowd,c de Kock b Jansen,18,25,33,4,0,72.0,Netherlands,South Africa,1,14
Colin Ackermann,b Coetzee,12,25,40,1,0,48.0,Netherlands,South Africa,1,14
Bas de Leede,lbw b Rabada,2,7,16,0,0,28.57,Netherlands,South Africa,1,14
Sybrand Engelbrecht,c Jansen b Ngidi,19,37,41,1,1,51.35,Netherlands,South Africa,1,14
Teja Nidamanuru,lbw b Jansen,20,25,56,3,0,80.0,Netherlands,South Africa,1,14
Scott Edwards,not out,78,69,102,10,1,113.04,Netherlands,South Africa,1,14
Logan van Beek,st de Kock b Maharaj,10,27,22,1,0,37.03,Netherlands,South Africa,1,14
Roelof van der Merwe,c de Kock b Ngidi,29,19,30,3,1,152.63,Netherlands,South Africa,1,14
Aryan Dutt,not out,23,9,14,0,3,255.55,Netherlands,South Africa,1,14
Quinton de Kock,c Buttler b Topley,4,2,3,1,0,200.0,South Africa,England,1,15
Reeza Hendricks,b Rashid,85,75,111,9,3,113.33,South Africa,England,1,15
Rassie van der Dussen,c Bairstow b Rashid,60,61,86,8,0,98.36,South Africa,England,1,15
Aiden Markram,c Bairstow b Topley,42,44,63,4,0,95.45,South Africa,England,1,15
Heinrich Klaasen,b Atkinson,109,67,119,12,4,162.68,South Africa,England,1,15
David Miller,c Stokes b Topley,5,6,7,1,0,83.33,South Africa,England,1,15
Marco Jansen,not out,75,42,72,3,6,178.57,South Africa,England,1,15
Gerald Coetzee,c sub (LS Livingstone) b Atkinson,3,3,2,0,0,100.0,South Africa,England,1,15
Keshav Maharaj,not out,1,1,1,0,0,100.0,South Africa,England,1,15
Quinton de Kock,c Cummins b Hazlewood,3,14,27,0,0,21.42,South Africa,Australia,1,16
Temba Bavuma,c Inglis b Starc,0,4,5,0,0,0.0,South Africa,Australia,1,16
Rassie van der Dussen,c Smith b Hazlewood,6,31,53,0,0,19.35,South Africa,Australia,1,16
Aiden Markram,c Warner b Starc,10,20,24,2,0,50.0,South Africa,Australia,1,16
Heinrich Klaasen,b Head,47,48,76,4,2,97.91,South Africa,Australia,1,16
David Miller,c Head b Cummins,101,116,138,8,5,87.06,South Africa,Australia,1,16
Marco Jansen,lbw b Head,0,1,1,0,0,0.0,South Africa,Australia,1,16
Gerald Coetzee,c Inglis b Cummins,19,39,42,2,0,48.71,South Africa,Australia,1,16
Keshav Maharaj,c Smith b Starc,4,8,13,0,0,50.0,South Africa,Australia,1,16
Kagiso Rabada,c Maxwell b Cummins,10,12,18,0,1,83.33,South Africa,Australia,1,16
Tabraiz Shamsi,not out,1,5,11,0,0,20.0,South Africa,Australia,1,16
Jonny Bairstow,c Mitchell b Santner,33,35,57,4,1,94.28,England,New Zealand,1,17
Dawid Malan,c Latham b Henry,14,24,36,2,0,58.33,England,New Zealand,1,17
Joe Root,b Phillips,77,86,140,4,1,89.53,England,New Zealand,1,17
Harry Brook,c Conway b Ravindra,25,16,20,4,1,156.25,England,New Zealand,1,17
Moeen Ali,b Phillips,11,17,20,1,0,64.7,England,New Zealand,1,17
Jos Buttler,c Latham b Henry,43,42,48,2,2,102.38,England,New Zealand,1,17
Liam Livingstone,c Henry b Boult,20,22,23,3,0,90.9,England,New Zealand,1,17
Sam Curran,c Latham b Henry,14,19,30,0,0,73.68,England,New Zealand,1,17
Chris Woakes,c Young b Santner,11,12,15,1,0,91.66,England,New Zealand,1,17
Adil Rashid,not out,15,13,23,0,1,115.38,England,New Zealand,1,17
Mark Wood,not out,13,14,19,0,0,92.85,England,New Zealand,1,17
Pathum Nissanka,c Warner b Cummins,61,67,103,8,0,91.04,Sri Lanka,Australia,1,18
Kusal Perera,b Cummins,78,82,123,12,0,95.12,Sri Lanka,Australia,1,18
Kusal Mendis,c Warner b Zampa,9,13,27,0,0,69.23,Sri Lanka,Australia,1,18
Sadeera Samarawickrama,lbw b Zampa,8,8,15,1,0,100.0,Sri Lanka,Australia,1,18
Charith Asalanka,c Labuschagne b Maxwell,25,39,75,0,1,64.1,Sri Lanka,Australia,1,18
Dhananjaya de Silva,b Starc,7,13,13,1,0,53.84,Sri Lanka,Australia,1,18
Dunith Wellalage,run out (Cummins),2,9,9,0,0,22.22,Sri Lanka,Australia,1,18
Chamika Karunaratne,lbw b Zampa,2,11,12,0,0,18.18,Sri Lanka,Australia,1,18
Maheesh Theekshana,lbw b Zampa,0,5,7,0,0,0.0,Sri Lanka,Australia,1,18
Lahiru Kumara,b Starc,4,8,6,1,0,50.0,Sri Lanka,Australia,1,18
Dilshan Madushanka,not out,0,6,12,0,0,0.0,Sri Lanka,Australia,1,18
Rahmanullah Gurbaz,c Tanzid Hasan b Mustafizur Rahman,47,62,112,4,1,75.8,Afghanistan,Bangladesh,1,19
Ibrahim Zadran,c Tanzid Hasan b Shakib Al Hasan,22,25,41,3,1,88.0,Afghanistan,Bangladesh,1,19
Rahmat Shah,c Litton Das b Shakib Al Hasan,18,25,30,1,0,72.0,Afghanistan,Bangladesh,1,19
Hashmatullah Shahidi,c Towhid Hridoy b Mehidy Hasan Miraz,18,38,34,2,0,47.36,Afghanistan,Bangladesh,1,19
Najibullah Zadran,b Shakib Al Hasan,5,13,16,0,0,38.46,Afghanistan,Bangladesh,1,19
Mohammad Nabi,b Taskin Ahmed,6,12,19,0,0,50.0,Afghanistan,Bangladesh,1,19
Azmatullah Omarzai,b Shoriful Islam,22,20,32,4,0,110.0,Afghanistan,Bangladesh,1,19
Rashid Khan,b Mehidy Hasan Miraz,9,16,16,1,0,56.25,Afghanistan,Bangladesh,1,19
Mujeeb Ur Rahman,b Mehidy Hasan Miraz,1,4,9,0,0,25.0,Afghanistan,Bangladesh,1,19
Naveen-ul-Haq,c Towhid Hridoy b Shoriful Islam,0,6,8,0,0,0.0,Afghanistan,Bangladesh,1,19
Fazalhaq Farooqi,not out,0,3,3,0,0,0.0,Afghanistan,Bangladesh,1,19
David Warner,c & b Kuldeep Yadav,41,52,76,6,0,78.84,Australia,India,1,20
Mitchell Marsh,c Kohli b Bumrah,0,6,11,0,0,0.0,Australia,India,1,20
Steven Smith,b Jadeja,46,71,112,5,0,64.78,Australia,India,1,20
Marnus Labuschagne,c Rahul b Jadeja,27,41,58,1,0,65.85,Australia,India,1,20
Glenn Maxwell,b Kuldeep Yadav,15,25,44,1,0,60.0,Australia,India,1,20
Alex Carey,lbw b Jadeja,0,2,1,0,0,0.0,Australia,India,1,20
Cameron Green,c Pandya b Ashwin,8,20,31,0,0,40.0,Australia,India,1,20
Pat Cummins,c Iyer b Bumrah,15,24,26,1,1,62.5,Australia,India,1,20
Mitchell Starc,c Iyer b Mohammed Siraj,28,35,58,2,1,80.0,Australia,India,1,20
Adam Zampa,c Kohli b Pandya,6,20,28,0,0,30.0,Australia,India,1,20
Josh Hazlewood,not out,1,1,6,0,0,100.0,Australia,India,1,20
Travis Head,c Root b Woakes,11,10,8,1,0,110.0,Australia,England,1,21
David Warner,c Willey b Woakes,15,16,29,1,1,93.75,Australia,England,1,21
Steven Smith,c Ali b Rashid,44,52,85,3,0,84.61,Australia,England,1,21
Marnus Labuschagne,lbw b Wood,71,83,111,7,0,85.54,Australia,England,1,21
Josh Inglis,c Ali b Rashid,3,6,5,0,0,50.0,Australia,England,1,21
Cameron Green,b Willey,47,52,81,5,0,90.38,Australia,England,1,21
Marcus Stoinis,c Bairstow b Livingstone,35,32,53,3,2,109.37,Australia,England,1,21
Pat Cummins,c Malan b Wood,10,13,17,1,0,76.92,Australia,England,1,21
Mitchell Starc,c Ali b Woakes,10,13,30,0,0,76.92,Australia,England,1,21
Adam Zampa,c Buttler b Woakes,29,19,23,4,0,152.63,Australia,England,1,21
Josh Hazlewood,not out,1,1,1,0,0,100.0,Australia,England,1,21
Tanzid Hasan,c & b Abbott,36,34,55,6,0,105.88,Bangladesh,Australia,1,22
Litton Das,c Labuschagne b Zampa,36,45,76,5,0,80.0,Bangladesh,Australia,1,22
Najmul Hossain Shanto,run out (Labuschagne/Inglis),45,57,59,6,0,78.94,Bangladesh,Australia,1,22
Towhid Hridoy,c Labuschagne b Stoinis,74,79,121,5,2,93.67,Bangladesh,Australia,1,22
Mahmudullah,run out (Labuschagne),32,28,34,1,3,114.28,Bangladesh,Australia,1,22
Mushfiqur Rahim,c Cummins b Zampa,21,24,27,0,1,87.5,Bangladesh,Australia,1,22
Mehidy Hasan Miraz,c Cummins b Abbott,29,20,33,4,0,145.0,Bangladesh,Australia,1,22
Nasum Ahmed,run out (Abbott),7,11,15,0,0,63.63,Bangladesh,Australia,1,22
Mahedi Hasan,not out,2,3,4,0,0,66.66,Bangladesh,Australia,1,22
Taskin Ahmed,not out,0,1,2,0,0,0.0,Bangladesh,Australia,1,22
Jonny Bairstow,b Shakib Al Hasan,52,59,80,8,0,88.13,England,Bangladesh,1,23
Dawid Malan,b Mahedi Hasan,140,107,106,16,5,130.84,England,Bangladesh,1,23
Joe Root,c Mushfiqur Rahim b Shoriful Islam,82,68,107,8,1,120.58,England,Bangladesh,1,23
Jos Buttler,b Shoriful Islam,20,10,11,1,1,200.0,England,Bangladesh,1,23
Harry Brook,c Litton Das b Mahedi Hasan,20,15,23,3,0,133.33,England,Bangladesh,1,23
Liam Livingstone,b Shoriful Islam,0,1,1,0,0,0.0,England,Bangladesh,1,23
Sam Curran,c Najmul Hossain Shanto b Mahedi Hasan,11,15,20,1,0,73.33,England,Bangladesh,1,23
Chris Woakes,c Mahedi Hasan b Taskin Ahmed,14,11,21,2,0,127.27,England,Bangladesh,1,23
Adil Rashid,c Najmul Hossain Shanto b Mahedi Hasan,11,7,8,1,0,157.14,England,Bangladesh,1,23
Mark Wood,not out,6,5,6,1,0,120.0,England,Bangladesh,1,23
Reece Topley,not out,1,2,2,0,0,50.0,England,Bangladesh,1,23
Rahmanullah Gurbaz,run out (sub [DJ Willey]/Buttler),80,57,87,8,4,140.35,Afghanistan,England,1,24
Ibrahim Zadran,c Root b Rashid,28,48,73,3,0,58.33,Afghanistan,England,1,24
Rahmat Shah,st Buttler b Rashid,3,8,10,0,0,37.5,Afghanistan,England,1,24
Hashmatullah Shahidi,b Root,14,36,46,0,0,38.88,Afghanistan,England,1,24
Azmatullah Omarzai,c Woakes b Livingstone,19,24,25,1,1,79.16,Afghanistan,England,1,24
Ikram Alikhil,c Curran b Topley,58,66,92,3,2,87.87,Afghanistan,England,1,24
Mohammad Nabi,c Root b Wood,9,15,14,1,0,60.0,Afghanistan,England,1,24
Rashid Khan,c Root b Rashid,23,22,37,3,0,104.54,Afghanistan,England,1,24
Mujeeb Ur Rahman,c Root b Wood,28,16,22,3,1,175.0,Afghanistan,England,1,24
Naveen-ul-Haq,run out (Buttler),5,6,9,1,0,83.33,Afghanistan,England,1,24
Fazalhaq Farooqi,not out,2,4,7,0,0,50.0,Afghanistan,England,1,24
Jonny Bairstow,c de Silva b Rajitha,30,31,64,3,0,96.77,England,Sri Lanka,1,25
Dawid Malan,c Mendis b Mathews,28,25,32,6,0,112.0,England,Sri Lanka,1,25
Joe Root,run out (Mathews/Mendis),3,10,14,0,0,30.0,England,Sri Lanka,1,25
Ben Stokes,c sub (MADI Hemantha) b Kumara,43,73,98,6,0,58.9,England,Sri Lanka,1,25
Jos Buttler,c Mendis b Kumara,8,6,6,1,0,133.33,England,Sri Lanka,1,25
Liam Livingstone,lbw b Kumara,1,6,9,0,0,16.66,England,Sri Lanka,1,25
Moeen Ali,c Perera b Mathews,15,15,33,1,0,100.0,England,Sri Lanka,1,25
Chris Woakes,c Samarawickrama b Rajitha,0,4,8,0,0,0.0,England,Sri Lanka,1,25
David Willey,not out,14,17,34,1,1,82.35,England,Sri Lanka,1,25
Adil Rashid,run out (Mendis),2,7,7,0,0,28.57,England,Sri Lanka,1,25
Mark Wood,st Mendis b Theekshana,5,6,6,1,0,83.33,England,Sri Lanka,1,25
Devon Conway,c de Leede b van der Merwe,32,40,51,5,1,80.0,New Zealand,Netherlands,1,26
Will Young,c de Leede b van Meekeren,70,80,106,7,2,87.5,New Zealand,Netherlands,1,26
Rachin Ravindra,c Edwards b van der Merwe,51,51,87,3,1,100.0,New Zealand,Netherlands,1,26
Daryl Mitchell,b van Meekeren,48,47,67,5,2,102.12,New Zealand,Netherlands,1,26
Tom Latham,st Edwards b Dutt,53,46,72,6,1,115.21,New Zealand,Netherlands,1,26
Glenn Phillips,c Edwards b de Leede,4,4,6,1,0,100.0,New Zealand,Netherlands,1,26
Mark Chapman,c van der Merwe b Dutt,5,13,11,0,0,38.46,New Zealand,Netherlands,1,26
Mitchell Santner,not out,36,17,25,3,2,211.76,New Zealand,Netherlands,1,26
Matt Henry,not out,10,4,6,0,1,250.0,New Zealand,Netherlands,1,26
Rahmanullah Gurbaz,c Starc b Hazlewood,21,25,38,2,0,84.0,Afghanistan,Australia,1,27
Ibrahim Zadran,not out,129,143,217,8,3,90.2,Afghanistan,Australia,1,27
Rahmat Shah,c Hazlewood b Maxwell,30,44,61,1,0,68.18,Afghanistan,Australia,1,27
Hashmatullah Shahidi,b Starc,26,43,50,2,0,60.46,Afghanistan,Australia,1,27
Azmatullah Omarzai,c Maxwell b Zampa,22,18,23,1,2,122.22,Afghanistan,Australia,1,27
Mohammad Nabi,b Hazlewood,12,10,15,0,1,120.0,Afghanistan,Australia,1,27
Rashid Khan,not out,35,18,25,2,3,194.44,Afghanistan,Australia,1,27
Abdullah Shafique,c Ngidi b Jansen,9,17,21,1,0,52.94,Pakistan,South Africa,1,28
Imam-ul-Haq,c Klaasen b Jansen,12,18,35,2,0,66.66,Pakistan,South Africa,1,28
Babar Azam,c de Kock b Shamsi,50,65,100,4,1,76.92,Pakistan,South Africa,1,28
